,counterpart_area,economy,time,ExternalDebtStock
164,003,ETH,YR2020,0.0
165,003,TZA,YR2010,0.0
166,003,TZA,YR2011,0.0
167,003,TZA,YR2012,0.0
168,003,TZA,YR2013,105128793.0
169,003,TZA,YR2014,85800447.0
170,003,TZA,YR2015,66599045.1
171,003,TZA,YR2016,55051426.6
172,003,TZA,YR2017,47829283.3
173,003,TZA,YR2018,34899600.0
174,003,TZA,YR2019,23680148.6
175,003,TZA,YR2020,14330073.8
176,003,UZB,YR2010,
177,003,UZB,YR2011,
178,003,UZB,YR2012,
179,003,UZB,YR2013,
180,003,UZB,YR2014,
181,003,UZB,YR2015,
182,003,UZB,YR2016,
183,003,UZB,YR2017,
184,003,UZB,YR2018,
185,003,UZB,YR2019,
186,003,UZB,YR2020,
187,003,VNM,YR2010,41558932.1
188,003,VNM,YR2011,32909548.3
189,003,VNM,YR2012,27300943.6
190,003,VNM,YR2013,26703542.2
191,003,VNM,YR2014,21178103.4
192,003,VNM,YR2015,16395509.1
193,003,VNM,YR2016,16118664.2
194,003,VNM,YR2017,20608027.9
195,003,VNM,YR2018,21265400.0
196,003,VNM,YR2019,23730385.6
197,003,VNM,YR2020,24636486.7
198,004,ARG,YR2010,180169983.2
199,004,ARG,YR2011,176863440.4
200,004,ARG,YR2012,178691058.4
201,004,ARG,YR2013,183250987.6
202,004,ARG,YR2014,304262126.9
203,004,ARG,YR2015,271795599.6
204,004,ARG,YR2016,217371818.6
205,004,ARG,YR2017,195304101.2
206,004,ARG,YR2018,136911145.0
207,004,ARG,YR2019,318472855.4
208,004,ARG,YR2020,407406308.7
209,004,DZA,YR2010,746342527.2
210,004,DZA,YR2011,624578469.0
211,004,DZA,YR2012,549553849.2
212,004,DZA,YR2013,494259786.3
213,004,DZA,YR2014,378485962.2
214,004,DZA,YR2015,295812854.4
215,004,DZA,YR2016,248507237.3
216,004,DZA,YR2017,244077938.1
217,004,DZA,YR2018,195421730.0
218,004,DZA,YR2019,155669538.0
219,004,DZA,YR2020,136478062.0
220,004,ETH,YR2010,65353542.0
221,004,ETH,YR2011,133354509.6
222,004,ETH,YR2012,204410683.8
223,004,ETH,YR2013,253302055.2
224,004,ETH,YR2014,212054706.0
225,004,ETH,YR2015,263405521.5
226,004,ETH,YR2016,271517186.2
227,004,ETH,YR2017,284300061.5
228,004,ETH,YR2018,255444920.0
229,004,ETH,YR2019,526507229.8
230,004,ETH,YR2020,549867802.7
231,004,TZA,YR2010,20525418.6
232,004,TZA,YR2011,32259718.4
233,004,TZA,YR2012,32556739.5
234,004,TZA,YR2013,56843083.5
235,004,TZA,YR2014,57990493.1
236,004,TZA,YR2015,70838863.1
237,004,TZA,YR2016,84438651.3
238,004,TZA,YR2017,106012837.9
239,004,TZA,YR2018,106779405.0
240,004,TZA,YR2019,131018991.8
241,004,TZA,YR2020,153888789.2
242,004,UZB,YR2010,48542809.8
243,004,UZB,YR2011,106366343.4
244,004,UZB,YR2012,99683308.8
245,004,UZB,YR2013,90453789.9
246,004,UZB,YR2014,63212116.5
247,004,UZB,YR2015,48965371.2
248,004,UZB,YR2016,36520348.6
249,004,UZB,YR2017,29160979.5
250,004,UZB,YR2018,26369350.0
251,004,UZB,YR2019,194839125.8
252,004,UZB,YR2020,645556449.3
253,004,VNM,YR2010,3487905347.4
254,004,VNM,YR2011,3516453904.5
255,004,VNM,YR2012,3484056323.2
256,004,VNM,YR2013,3814882055.9
